,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-12-31,2019-01-10,2019-03-11,2019-03-14,73 days,60 days
1,2020-12-30,2021-01-07,2021-02-10,2021-03-02,62 days,34 days
