,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-14,2018-01-06,2018-03-10,2018-03-21,97 days,63 days
1,2019-01-13,2019-01-17,2019-02-10,2019-02-22,40 days,24 days
2,2020-12-16,2020-12-27,2021-02-13,2021-03-06,80 days,48 days
