,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-05,2017-12-08,2018-05-05,2018-05-08,154 days,148 days
1,2018-12-13,2018-12-28,2019-05-12,2019-05-17,155 days,135 days
2,2019-12-30,2020-01-22,2020-04-23,2020-05-01,123 days,92 days
3,2020-12-29,2021-01-01,2021-05-14,2021-05-16,138 days,133 days
4,2021-12-23,2021-12-28,2022-04-25,2022-04-27,125 days,118 days
