,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-02-06,2018-02-12,2018-03-02,2018-03-06,28 days,18 days
1,2019-01-08,2019-01-23,2019-02-18,2019-02-20,43 days,26 days
2,2020-12-30,2021-01-06,2021-01-25,2021-01-29,30 days,19 days
3,2022-01-11,2022-01-17,2022-02-01,2022-02-04,24 days,15 days
