,FUS,FUE,BUS,BUE,ICD,CFD
0,2019-01-10,2019-01-15,2019-02-18,2019-02-24,45 days,34 days
1,2020-01-02,2021-01-12,2021-02-06,2021-02-15,410 days,25 days
