,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-26,2017-12-29,2018-04-27,2018-05-01,126 days,119 days
1,2018-12-05,2019-01-10,2019-05-18,2019-05-21,167 days,128 days
2,2019-12-23,2019-12-28,2020-04-21,2020-04-25,124 days,115 days
3,2020-12-15,2020-12-30,2021-05-17,2021-05-22,158 days,138 days
4,2021-12-30,2022-01-03,2022-04-17,2022-04-28,119 days,104 days
