,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-06,2017-12-12,2018-05-09,2018-05-12,157 days,148 days
1,2018-11-26,2018-12-03,2019-05-26,2019-05-28,183 days,174 days
2,2019-12-25,2020-01-06,2020-04-21,2020-04-25,122 days,106 days
3,2020-12-13,2020-12-22,2021-05-23,2021-05-27,165 days,152 days
4,2021-12-28,2022-01-03,2022-05-04,2022-05-07,130 days,121 days
