,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-12-08,2018-12-09,2019-02-01,2019-02-06,60 days,54 days
1,2020-12-14,2020-12-30,2021-02-04,2021-02-12,60 days,36 days
