,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-16,2017-12-26,2018-04-28,2018-05-02,137 days,123 days
1,2018-12-19,2018-12-31,2019-05-18,2019-05-21,153 days,138 days
2,2019-12-24,2020-01-10,2020-04-25,2020-04-28,126 days,106 days
3,2020-12-29,2021-01-01,2021-05-11,2021-05-14,136 days,130 days
4,2021-12-23,2021-12-29,2022-04-23,2022-04-25,123 days,115 days
