,FUS,FUE,BUS,BUE,ICD,CFD
0,2019-01-03,2019-01-14,2019-02-21,2019-03-14,70 days,38 days
1,2020-12-12,2020-12-30,2021-02-13,2021-02-14,64 days,45 days
2,2021-12-16,2022-01-07,2022-01-31,2022-02-09,55 days,24 days
