,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-31,2018-01-11,2018-03-16,2018-03-24,83 days,64 days
1,2018-12-31,2019-01-12,2019-03-11,2019-03-14,73 days,58 days
2,2020-12-13,2020-12-26,2021-03-14,2021-03-17,94 days,78 days
3,2021-11-28,2021-12-02,2022-03-14,2022-03-17,109 days,102 days
4,2023-01-12,2023-01-20,2023-02-26,2023-03-03,50 days,37 days
