,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-11-05,2017-11-08,2018-05-21,2018-05-22,198 days,194 days
1,2018-11-04,2018-11-13,2019-06-11,2019-06-24,232 days,210 days
2,2019-10-30,2019-11-05,2020-05-14,2020-05-21,204 days,191 days
3,2020-10-17,2020-10-28,2021-06-01,2021-06-06,232 days,216 days
4,2021-10-22,2021-10-27,2022-05-07,2022-05-21,211 days,192 days
