,FUS,FUE,BUS,BUE,ICD,CFD
0,2019-01-01,2019-01-10,2019-02-06,2019-02-19,49 days,27 days
1,2021-01-03,2021-01-10,2021-01-27,2021-01-30,27 days,17 days
2,2022-01-09,2022-01-15,2022-01-26,2022-01-31,22 days,11 days
