,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-01,2017-12-13,2018-01-09,2018-04-12,132 days,27 days
1,2018-12-24,2019-01-09,2019-04-06,2019-04-09,106 days,87 days
2,2019-11-29,2019-12-07,2019-12-19,2020-03-14,106 days,12 days
3,2020-12-26,2021-01-01,2021-04-05,2021-04-24,119 days,94 days
4,2021-11-15,2021-12-08,2022-04-01,2022-04-06,142 days,114 days
