,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-11-28,2019-12-09,2019-12-21,2019-12-24,756 days,12 days
1,2021-11-26,2021-11-30,2021-12-25,2022-01-02,37 days,25 days
