,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-01-04,2018-01-15,2018-02-19,2018-03-02,57 days,35 days
1,2019-01-03,2019-01-12,2019-02-27,2019-03-02,58 days,46 days
2,2019-12-26,2020-01-30,2020-02-09,2020-02-12,48 days,10 days
3,2020-12-27,2021-01-06,2021-02-14,2021-02-17,52 days,39 days
4,2021-12-14,2022-01-07,2022-01-28,2022-02-12,60 days,21 days
