,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-01-10,2018-01-27,2018-03-12,2018-03-26,75 days,44 days
1,2020-12-26,2020-12-30,2021-01-14,2021-01-17,22 days,15 days
