,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-02-01,2018-02-14,2018-03-03,2018-03-06,33 days,17 days
1,2021-01-02,2021-01-11,2021-02-04,2021-02-13,42 days,24 days
