,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-11-25,2017-12-04,2018-04-29,2018-05-02,158 days,146 days
1,2018-12-10,2018-12-12,2019-04-28,2019-05-15,156 days,137 days
2,2019-12-16,2020-01-02,2020-04-20,2020-04-24,130 days,109 days
3,2020-12-03,2020-12-06,2021-05-05,2021-05-13,161 days,150 days
4,2021-12-07,2021-12-10,2022-04-22,2022-04-24,138 days,133 days
