,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-12-29,2019-01-10,2019-02-14,2019-03-10,71 days,35 days
1,2020-12-31,2021-01-09,2021-02-04,2021-02-10,41 days,26 days
2,2021-11-26,2021-12-01,2022-01-30,2022-02-04,70 days,60 days
