,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-12-29,2019-01-06,2019-03-06,2019-03-11,72 days,59 days
1,2020-12-08,2020-12-23,2021-02-04,2021-02-10,64 days,43 days
