,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-05,2018-01-01,2018-02-21,2018-02-24,81 days,51 days
1,2020-12-09,2020-12-23,2021-01-31,2021-02-11,64 days,39 days
