,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-02-15,2019-01-20,2019-02-18,2019-02-20,370 days,29 days
1,2019-11-28,2019-12-04,2020-01-01,2020-01-13,46 days,28 days
2,2020-12-27,2021-01-03,2021-02-06,2021-02-20,55 days,34 days
