,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-12-16,2017-12-19,2018-05-02,2018-05-06,141 days,134 days
1,2018-12-13,2018-12-16,2019-05-01,2019-05-12,150 days,136 days
2,2019-12-27,2020-01-02,2020-04-10,2020-04-16,111 days,99 days
3,2020-12-18,2020-12-22,2021-05-06,2021-05-18,151 days,135 days
4,2021-12-07,2021-12-28,2022-04-22,2022-04-26,140 days,115 days
