,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-11-14,2017-11-25,2018-04-28,2018-05-01,168 days,154 days
1,2018-12-06,2018-12-09,2019-05-28,2019-06-03,179 days,170 days
2,2019-11-13,2019-11-21,2020-04-26,2020-04-29,168 days,157 days
3,2020-12-02,2020-12-06,2021-05-28,2021-05-30,179 days,173 days
4,2021-11-10,2021-11-20,2022-05-05,2022-05-07,178 days,166 days
