,FUS,FUE,BUS,BUE,ICD,CFD
0,2019-01-01,2019-01-10,2019-03-05,2019-03-11,69 days,54 days
1,2019-12-12,2019-12-23,2020-02-10,2020-02-12,62 days,49 days
2,2020-12-08,2020-12-21,2021-02-05,2021-02-13,67 days,46 days
3,2021-12-21,2022-01-12,2022-02-11,2022-02-14,55 days,30 days
