,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-01-18,2018-01-28,2018-03-06,2018-04-04,76 days,37 days
1,2019-01-08,2019-01-12,2019-03-04,2019-03-10,61 days,51 days
2,2021-12-07,2021-12-23,2022-02-17,2022-02-21,76 days,56 days
3,2023-01-11,2023-01-15,2023-02-03,2023-02-06,26 days,19 days
