,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-11-25,2017-11-30,2018-04-02,2018-04-05,131 days,123 days
1,2018-12-10,2018-12-22,2019-03-27,2019-03-31,111 days,95 days
2,2019-11-19,2019-12-13,2020-02-13,2020-02-15,88 days,62 days
3,2020-11-28,2020-12-03,2021-03-18,2021-03-23,115 days,105 days
4,2021-11-28,2021-12-05,2022-03-23,2022-03-30,122 days,108 days
5,2022-11-24,2022-12-02,2022-12-26,2022-12-31,37 days,24 days
