,FUS,FUE,BUS,BUE,ICD,CFD
0,2018-01-17,2018-02-08,2018-03-13,2018-03-23,65 days,33 days
1,2018-12-29,2019-01-12,2019-03-06,2019-03-11,72 days,53 days
2,2020-12-12,2020-12-25,2021-02-05,2021-02-12,62 days,42 days
3,2021-12-03,2021-12-07,2021-12-27,2022-01-14,42 days,20 days
4,2022-11-27,2022-12-09,2023-02-07,2023-02-11,76 days,60 days
