,FUS,FUE,BUS,BUE,ICD,CFD
0,2017-10-20,2017-10-23,2018-05-28,2018-05-31,223 days,217 days
1,2018-10-24,2018-10-27,2019-06-09,2019-06-13,232 days,225 days
2,2019-10-16,2019-10-24,2020-05-14,2020-05-17,214 days,203 days
3,2020-10-03,2020-10-08,2021-06-14,2021-06-20,260 days,249 days
4,2021-10-17,2021-10-21,2022-05-17,2022-05-19,214 days,208 days
